  PID TTY           TIME CMD
15722 ??         0:01.41 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/95.0.4638.69/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=proxy_resolver.mojom.ProxyResolverFactory --field-trial-handle=1718379636,4997161538462103438,6252368147203843966,131072 --lang=ru --service-sandbox-type=utility --shared-files --seatbelt-client=111
16894 ??         0:00.17 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
20051 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
22595 ??         6:31.86 /Library/Application Support/Citrix Receiver/Citrix Viewer.app/Contents/MacOS/Citrix Viewer
22608 ??         0:00.51 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
22653 ??         0:00.25 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
28966 ??         2:07.00 /usr/bin/java -Dgoogle.cloud_firestore.debug_log_level=FINE -Duser.language=en -jar /Users/out-egorov-id/.cache/firebase/emulators/cloud-firestore-emulator-v1.11.12.jar --host localhost --port 8080 --rules /Users/out-egorov-id/Desktop/PetProjects/freelance/startup_monitoring_app/firebase/firestore.rules --functions_emulator localhost:5001
28982 ??         0:00.50 node /Users/out-egorov-id/.cache/firebase/emulators/ui-v1.4.2/server.bundle.js
34854 ??         0:00.05 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool
35017 ??         0:08.85 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
35018 ??         0:02.13 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
36675 ??       121:36.01 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
36677 ??         0:00.11 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/95.0.4638.69/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/out-egorov-id/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=95.0.4638.69 --handshake-fd=6
